Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2020","2020","t","1845.72","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2021","2021","t","1839.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2022","2022","t","1853.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2023","2023","t","1869.35","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2024","2024","t","1854","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2020","2020","t","482.9","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2021","2021","t","489.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2022","2022","t","490.99","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2023","2023","t","494.07","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2024","2024","t","497.14","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2020","2020","t","613.25","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2021","2021","t","623.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2022","2022","t","621.73","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2023","2023","t","619.39","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2024","2024","t","621.44","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2020","2020","t","500","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2021","2021","t","380","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2022","2022","t","450","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2023","2023","t","380","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2024","2024","t","320","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2020","2020","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2024","2024","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2020","2020","t","8018.36","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2021","2021","t","7957.2","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2022","2022","t","7927.19","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2023","2023","t","7967.58","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2024","2024","t","7950.66","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2020","2020","t","8018.36","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2021","2021","t","7957.2","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2022","2022","t","7927.19","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2023","2023","t","7967.58","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2024","2024","t","7950.66","E","Estimated value",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2020","2020","t","5930","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2021","2021","t","8310","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2022","2022","t","4450","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2023","2023","t","7000","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2024","2024","t","6490","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2020","2020","t","2015.78","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2021","2021","t","2019.78","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2022","2022","t","2023.66","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2023","2023","t","2022.93","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2024","2024","t","2022.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","233","Estonia","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","233","Estonia","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","233","Estonia","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","233","Estonia","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","233","Estonia","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01659","Hop cones","2020","2020","t","47323","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01659","Hop cones","2021","2021","t","43944.86","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01659","Hop cones","2022","2022","t","37361.15","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01659","Hop cones","2023","2023","t","43672.85","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01659","Hop cones","2024","2024","t","41659.62","E","Estimated value",""
"QCL","Crops and livestock products","250","France","5510","Production","01659","Hop cones","2020","2020","t","840","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01659","Hop cones","2021","2021","t","950","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01659","Hop cones","2022","2022","t","1100","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01659","Hop cones","2023","2023","t","720","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01659","Hop cones","2024","2024","t","670","A","Official figure",""
"QCL","Crops and livestock products","268","Georgia","5510","Production","01659","Hop cones","2020","2020","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","268","Georgia","5510","Production","01659","Hop cones","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","268","Georgia","5510","Production","01659","Hop cones","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","268","Georgia","5510","Production","01659","Hop cones","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","268","Georgia","5510","Production","01659","Hop cones","2024","2024","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01659","Hop cones","2020","2020","t","46900","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01659","Hop cones","2021","2021","t","47900","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01659","Hop cones","2022","2022","t","34400","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01659","Hop cones","2023","2023","t","41200","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01659","Hop cones","2024","2024","t","46500","A","Official figure",""
"QCL","Crops and livestock products","300","Greece","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","300","Greece","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","300","Greece","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","300","Greece","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","300","Greece","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01659","Hop cones","2020","2020","t","70","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01659","Hop cones","2021","2021","t","70","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01659","Hop cones","2022","2022","t","170","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01659","Hop cones","2023","2023","t","110","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","01659","Hop cones","2024","2024","t","120","A","Official figure",""
"QCL","Crops and livestock products","392","Japan","5510","Production","01659","Hop cones","2020","2020","t","636.15","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","392","Japan","5510","Production","01659","Hop cones","2021","2021","t","649.36","E","Estimated value",""
"QCL","Crops and livestock products","392","Japan","5510","Production","01659","Hop cones","2022","2022","t","644.98","E","Estimated value",""
"QCL","Crops and livestock products","392","Japan","5510","Production","01659","Hop cones","2023","2023","t","643.49","E","Estimated value",""
"QCL","Crops and livestock products","392","Japan","5510","Production","01659","Hop cones","2024","2024","t","645.94","E","Estimated value",""
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","554","New Zealand","5510","Production","01659","Hop cones","2020","2020","t","916.58","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","554","New Zealand","5510","Production","01659","Hop cones","2021","2021","t","931.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","554","New Zealand","5510","Production","01659","Hop cones","2022","2022","t","929.17","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","554","New Zealand","5510","Production","01659","Hop cones","2023","2023","t","935.84","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","554","New Zealand","5510","Production","01659","Hop cones","2024","2024","t","932.21","E","Estimated value",""
"QCL","Crops and livestock products","616","Poland","5510","Production","01659","Hop cones","2020","2020","t","3640","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","01659","Hop cones","2021","2021","t","3110","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","01659","Hop cones","2022","2022","t","3420","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","01659","Hop cones","2023","2023","t","3510","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","01659","Hop cones","2024","2024","t","2950","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5510","Production","01659","Hop cones","2020","2020","t","20","A","Official figure",""
"QCL","Crops and livestock products","410","Republic of Korea","5510","Production","01659","Hop cones","2020","2020","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","410","Republic of Korea","5510","Production","01659","Hop cones","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","410","Republic of Korea","5510","Production","01659","Hop cones","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","410","Republic of Korea","5510","Production","01659","Hop cones","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","410","Republic of Korea","5510","Production","01659","Hop cones","2024","2024","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01659","Hop cones","2020","2020","t","210","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01659","Hop cones","2021","2021","t","210","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01659","Hop cones","2022","2022","t","190","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01659","Hop cones","2023","2023","t","180","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01659","Hop cones","2024","2024","t","150","A","Official figure",""
"QCL","Crops and livestock products","643","Russian Federation","5510","Production","01659","Hop cones","2020","2020","t","221.1","A","Official figure",""
"QCL","Crops and livestock products","643","Russian Federation","5510","Production","01659","Hop cones","2021","2021","t","195.7","A","Official figure",""
"QCL","Crops and livestock products","643","Russian Federation","5510","Production","01659","Hop cones","2022","2022","t","217.6","A","Official figure",""
"QCL","Crops and livestock products","643","Russian Federation","5510","Production","01659","Hop cones","2023","2023","t","136.88","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","643","Russian Federation","5510","Production","01659","Hop cones","2024","2024","t","110.59","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","688","Serbia","5510","Production","01659","Hop cones","2020","2020","t","33.4","E","Estimated value",""
"QCL","Crops and livestock products","688","Serbia","5510","Production","01659","Hop cones","2021","2021","t","33.54","E","Estimated value",""
"QCL","Crops and livestock products","688","Serbia","5510","Production","01659","Hop cones","2022","2022","t","32.82","E","Estimated value",""
"QCL","Crops and livestock products","688","Serbia","5510","Production","01659","Hop cones","2023","2023","t","33.25","E","Estimated value",""
"QCL","Crops and livestock products","688","Serbia","5510","Production","01659","Hop cones","2024","2024","t","33.2","E","Estimated value",""
"QCL","Crops and livestock products","705","Slovenia","5510","Production","01659","Hop cones","2020","2020","t","2720","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5510","Production","01659","Hop cones","2021","2021","t","2190","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5510","Production","01659","Hop cones","2022","2022","t","2280","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5510","Production","01659","Hop cones","2023","2023","t","2740","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5510","Production","01659","Hop cones","2024","2024","t","2270","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01659","Hop cones","2020","2020","t","468.94","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01659","Hop cones","2021","2021","t","471.95","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01659","Hop cones","2022","2022","t","473.02","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01659","Hop cones","2023","2023","t","471.3","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01659","Hop cones","2024","2024","t","472.09","E","Estimated value",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01659","Hop cones","2020","2020","t","1040","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01659","Hop cones","2021","2021","t","1080","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01659","Hop cones","2022","2022","t","1120","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01659","Hop cones","2023","2023","t","960","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5510","Production","01659","Hop cones","2024","2024","t","1110","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01659","Hop cones","2020","2020","t","42","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01659","Hop cones","2021","2021","t","45","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01659","Hop cones","2022","2022","t","31","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01659","Hop cones","2023","2023","t","37","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01659","Hop cones","2024","2024","t","31.2","A","Official figure",""
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01659","Hop cones","2020","2020","t","510","A","Official figure",""
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01659","Hop cones","2021","2021","t","530","A","Official figure",""
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01659","Hop cones","2022","2022","t","250","A","Official figure",""
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01659","Hop cones","2023","2023","t","460","A","Official figure",""
"QCL","Crops and livestock products","804","Ukraine","5510","Production","01659","Hop cones","2024","2024","t","400","E","Estimated value",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01659","Hop cones","2020","2020","t","1336.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01659","Hop cones","2021","2021","t","1126.94","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01659","Hop cones","2022","2022","t","1120.44","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01659","Hop cones","2023","2023","t","1124.89","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01659","Hop cones","2024","2024","t","1095","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01659","Hop cones","2020","2020","t","47090","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01659","Hop cones","2021","2021","t","52450","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01659","Hop cones","2022","2022","t","46200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01659","Hop cones","2023","2023","t","47190","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01659","Hop cones","2024","2024","t","39500","A","Official figure",""
